viv@uab.edu	name1	add1	dept1	NA
mel@uab.edu	name2	add2	dept2	NA
atk@uab.edu	name3	add3	dept3	NA
des@uab.edu	name4	add4	dept4	NA
chan@uab.edu	name5	add5	dept5	NA
mat@uab.edu	name6	add6	dept6	NA
des@uab.edu	name7	add7	dept7	NA
may@uab.edu	name8	add8	dept8	NA
ken@uab.edu	name9	add9	dept9	NA
matt@uab.edu	name10	add10	dept10	NA
dan@uab.edu	name11	add11	dept11	NA
atk@uab.edu	name12	add12	dept12	NA
chan@uab.edu	name13	add13	dept13	NA
chan@uab.edu	name14	add14	dept14	NA
kes@uab.edu	name15	add15	dept15	NA
dan@uab.edu	name16	add16	dept16	NA
dar@uab.edu	name17	add17	dept17	NA
